example_id                                                                | status | run_time        |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:1:5]      | failed | 0.04714 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:2:1]      | failed | 0.0143 seconds  |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:3:1]      | failed | 0.01157 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:2:1:1]      | failed | 0.01404 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:2:2:1]      | failed | 0.01593 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:2:1]          | passed | 0.00829 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:1:1]                  | passed | 0.0173 seconds  |
./spec/controllers/spree/users_controller_spec.rb[1:2:1]                  | passed | 0.02368 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:1]              | passed | 0.03131 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:2]              | passed | 0.03035 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:3]              | passed | 0.03037 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:2:1]              | passed | 0.03098 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:3:1:1]            | passed | 0.03177 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:3:2:1]            | passed | 0.03088 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:2]                  | passed | 0.04103 seconds |
./spec/helpers/base_helper_spec.rb[1:1]                                   | passed | 0.09169 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                                  | passed | 0.0051 seconds  |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                          | passed | 0.00942 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                             | passed | 0.06234 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                             | passed | 0.05164 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                             | passed | 0.04058 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                               | passed | 0.04101 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:1]                             | passed | 0.42341 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:2]                             | passed | 0.43444 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:3]                             | passed | 0.23997 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:4]                             | passed | 0.18853 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:5]                             | passed | 0.19167 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:1]                             | passed | 0.29454 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:1]                         | passed | 0.2945 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:2]                         | passed | 0.3083 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:3]                         | passed | 0.32761 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:4:1]                       | passed | 0.35963 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:1:1]                       | passed | 0.32183 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:2:1]                       | passed | 0.32098 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:2:2]                       | passed | 0.31261 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:3:1]                         | passed | 0.30251 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:1:1]                       | passed | 0.26398 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:2:1]                       | passed | 0.2405 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:3:1]                       | passed | 0.27295 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:1]                         | passed | 0.39835 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:2]                         | passed | 0.3898 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:3]                         | passed | 0.50985 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:3:1]                           | passed | 0.44967 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:3:2]                           | passed | 0.29017 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:4:1]                           | passed | 0.19239 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:5:1]                           | passed | 0.64627 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:6:1:1]                         | passed | 0.22675 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:6:2:1]                         | passed | 0.40055 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:7:1]                           | passed | 0.29159 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:8:1:1]                         | passed | 0.25429 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:8:2:1:1]                       | passed | 0.2716 seconds  |
./spec/requests/spree/checkout_spec.rb[1:3:1:1]                           | passed | 0.20085 seconds |
./spec/requests/spree/checkout_spec.rb[1:3:1:2]                           | passed | 0.20944 seconds |
./spec/requests/spree/checkout_spec.rb[1:4:1]                             | passed | 0.25972 seconds |
./spec/requests/spree/checkout_spec.rb[1:4:2]                             | passed | 0.19525 seconds |
./spec/requests/spree/checkout_spec.rb[1:5:1]                             | passed | 0.56215 seconds |
./spec/requests/spree/checkout_with_views_spec.rb[1:1:1:1]                | passed | 0.35648 seconds |
./spec/requests/spree/current_order_tracking_spec.rb[1:1]                 | passed | 0.385 seconds   |
./spec/requests/spree/current_order_tracking_spec.rb[1:2:1]               | passed | 0.38916 seconds |
./spec/requests/spree/home_spec.rb[1:1]                                   | passed | 0.05595 seconds |
./spec/requests/spree/home_spec.rb[1:2:1]                                 | passed | 0.04951 seconds |
./spec/requests/spree/home_spec.rb[1:2:2:1]                               | passed | 0.04413 seconds |
./spec/requests/spree/locale_spec.rb[1:1:1:1]                             | passed | 0.11868 seconds |
./spec/requests/spree/locale_spec.rb[1:1:2:1]                             | passed | 0.16531 seconds |
./spec/requests/spree/locale_spec.rb[1:2:1:1]                             | passed | 0.02851 seconds |
./spec/requests/spree/locale_spec.rb[1:2:2:1]                             | passed | 0.02704 seconds |
./spec/requests/spree/locale_spec.rb[1:3:1]                               | passed | 0.02762 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:1]                         | passed | 0.00958 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:1:1]                     | passed | 0.15888 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:2:1]                     | passed | 0.05108 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:3:1]                     | passed | 0.0553 seconds  |
./spec/requests/spree/orders_ability_spec.rb[1:2:4:1]                     | passed | 0.05244 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:2:5:1]                     | passed | 0.04885 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:1:1]                   | passed | 0.08385 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:1:2]                   | passed | 0.08481 seconds |
./spec/requests/spree/orders_ability_spec.rb[1:3:1:2:1]                   | passed | 0.01575 seconds |
